participant_id,country,iso3,region,age,age_group,sex,time_of_day,n_trials,best_rt_ms,mean_rt_ms,median_rt_ms,worst_rt_ms,sd_rt_ms,lapse_count,data_type
1,Israel,ISR,Asia,36,35-44,male,evening,5,245,269,267,287,15.4,0,synthetic
2,Israel,ISR,Asia,19,18-24,female,afternoon,5,234,261,262,283,17.3,0,synthetic
3,Israel,ISR,Asia,42,35-44,male,afternoon,5,195,218,215,243,18.9,0,synthetic
4,Israel,ISR,Asia,45,45-54,female,evening,5,249,264,262,281,10.4,0,synthetic
5,Israel,ISR,Asia,10,10-17,female,night,5,306,319,314,340,12.4,0,synthetic
6,Israel,ISR,Asia,15,10-17,female,morning,5,248,274,281,296,17.2,0,synthetic
7,Israel,ISR,Asia,34,25-34,female,afternoon,5,247,316,297,481,85.7,0,synthetic
8,Israel,ISR,Asia,28,25-34,male,morning,5,194,230,224,260,22.8,0,synthetic
9,Israel,ISR,Asia,32,25-34,male,afternoon,5,222,272,251,383,56.6,0,synthetic
10,Israel,ISR,Asia,21,18-24,male,morning,5,256,283,287,305,18.7,0,synthetic
11,Israel,ISR,Asia,44,35-44,male,night,5,233,255,256,279,16.0,0,synthetic
12,Israel,ISR,Asia,42,35-44,female,morning,5,258,273,273,294,13.6,0,synthetic
13,Israel,ISR,Asia,33,25-34,female,afternoon,5,268,304,280,417,56.3,0,synthetic
14,Israel,ISR,Asia,47,45-54,female,morning,5,270,290,292,325,19.9,0,synthetic
15,Israel,ISR,Asia,38,35-44,female,morning,5,235,244,243,260,8.3,0,synthetic
16,Israel,ISR,Asia,21,18-24,female,evening,5,229,252,253,281,20.2,0,synthetic
17,Israel,ISR,Asia,37,35-44,female,morning,5,244,277,246,383,53.9,0,synthetic
18,Israel,ISR,Asia,20,18-24,male,morning,5,239,256,253,277,13.6,0,synthetic
19,Israel,ISR,Asia,44,35-44,male,night,5,257,287,266,361,38.1,0,synthetic
20,Israel,ISR,Asia,32,25-34,female,morning,5,226,295,263,454,81.1,0,synthetic
21,Israel,ISR,Asia,30,25-34,female,morning,5,264,280,270,300,16.3,0,synthetic
22,Israel,ISR,Asia,23,18-24,male,afternoon,5,252,262,256,279,10.4,0,synthetic
23,Israel,ISR,Asia,48,45-54,male,morning,5,254,314,282,489,88.7,0,synthetic
24,Israel,ISR,Asia,30,25-34,female,evening,5,225,328,262,468,100.8,0,synthetic
25,Israel,ISR,Asia,27,25-34,male,evening,5,262,302,268,435,66.7,0,synthetic
26,Israel,ISR,Asia,28,25-34,male,night,5,251,297,261,440,71.8,0,synthetic
27,Israel,ISR,Asia,39,35-44,female,morning,5,268,287,283,309,13.9,0,synthetic
28,Israel,ISR,Asia,37,35-44,female,morning,5,241,309,272,474,84.5,0,synthetic
29,Israel,ISR,Asia,38,35-44,male,afternoon,5,224,262,253,291,25.0,0,synthetic
